company,sources,headquarters,industry,found_ats,verified_slug,job_count
MetLife,"sp500,largest_us,sec_edgar,sec_edgar,sec_edgar,sec_edgar","New York City, New York",Financials,lever,metlife,39
Mettler Toledo,sp500,"Columbus, Ohio",Health Care,,,0
MGM Resorts,sp500,"Paradise, Nevada",Consumer Discretionary,,,0
Microchip Technology,"sp500,sec_edgar,sec_edgar","Chandler, Arizona",Information Technology,,,0
Micron Technology,"sp500,sec_edgar","Boise, Idaho",Information Technology,,,0
Microsoft,"sp500,largest_us,sec_edgar","Redmond, Washington",Information Technology,,,0
Mid-America Apartment Communities,"sp500,sec_edgar,sec_edgar","Memphis, Tennessee",Real Estate,,,0
Moderna,"sp500,sec_edgar","Cambridge, Massachusetts",Health Care,,,0
Molson Coors Beverage Company,"sp500,sec_edgar,sec_edgar","Chicago, Illinois",Consumer Staples,,,0
Mondelez International,"sp500,sec_edgar","Chicago, Illinois",Consumer Staples,,,0
Monolithic Power Systems,"sp500,sec_edgar","Kirkland, Washington",Information Technology,,,0
Monster Beverage,"sp500,sec_edgar","Corona, California",Consumer Staples,,,0
Moody's Corporation,sp500,"New York City, New York",Financials,,,0
Morgan Stanley,"sp500,largest_us,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar","New York City, New York",Financials,,,0
Mosaic Company (The),"sp500,sec_edgar","Tampa, Florida",Materials,,,0
Motorola Solutions,"sp500,sec_edgar","Chicago, Illinois",Information Technology,,,0
MSCI Inc.,"sp500,sec_edgar","New York City, New York",Financials,,,0
"Nasdaq, Inc.","sp500,sec_edgar","New York City, New York",Financials,,,0
NetApp,"sp500,sec_edgar","San Jose, California",Information Technology,,,0
Netflix,"sp500,sec_edgar","Los Gatos, California",Communication Services,,,0
Newmont,sp500,"Denver, Colorado",Materials,,,0
News Corp(Class A),"sp500,sp500,sec_edgar,sec_edgar,sec_edgar","New York City, New York",Communication Services,,,0
NextEra Energy,"sp500,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar,sec_edgar","Juno Beach, Florida",Utilities,,,0
"Nike, Inc.","sp500,largest_us,sec_edgar","Washington County, Oregon",Consumer Discretionary,,,0
NiSource,"sp500,sec_edgar","Merrillville, Indiana",Utilities,,,0
Nordson Corporation,"sp500,sec_edgar","Westlake, Ohio",Industrials,,,0
